,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
216,ARTificial Coral Reef SKULLpture,Conceptual Art,Sep 30 2013,Oct 30 2013,30,"Dahab, Egypt",£,1010,1000,30
217,Angela Miskis - Leipzig International Art Programme,Painting,Nov 8 2013,Dec 3 2013,25,"Leipzig, Germany",$,3000,2500,26
218,"ArtHackDay ""AFK""",Art,Nov 13 2013,Dec 13 2013,30,"Metropolis, IL",$,2103,2000,47
219,The BIG BLANKET,Art,Nov 14 2013,Dec 12 2013,28,"Ramsgate, UK",£,595,500,16
220,ST.ART Magazine,Art,Feb 19 2014,Mar 12 2014,21,"St. Andrews, UK",£,355,250,5
221,WACsmash'D 2014,Performance Art,Dec 6 2013,Jan 18 2014,42,"Los Angeles, CA",$,3577,3500,47
222,Christmas Buttons & Magnets,Conceptual Art,Nov 25 2013,Dec 9 2013,14,"Raleigh, NC",$,278,100,15
223,Art 4 Animals,Painting,Jan 7 2014,Feb 6 2014,30,"East San Diego, San Diego, CA",$,255,75,5
224,5th Anniversary Year / Five Small Fires,Conceptual Art,Dec 11 2013,Jan 10 2014,30,"Los Angeles, CA",$,5271,5000,53
225,Full Metal Jacket Minimal Movie Poster Screen Prints,Illustration,Dec 16 2013,Jan 15 2014,30,"Cheshire, UK",£,1000,595,40
226,Masks & Sound Sculptures,Mixed Media,Feb 1 2014,Mar 3 2014,30,"Denver, CO",$,5028,5000,74
227,The Adventures of Buster & Duval,Illustration,Jan 10 2014,Feb 9 2014,30,"Chicago, IL",$,1702,1000,42
228,Farpoint Toys & Level Up's 2014 Epic Diorama,Mixed Media,Feb 12 2014,Apr 13 2014,59,"Mays Landing, NJ",$,3951,2500,66
229,European Experience - Urban Sketching and Photography,Art,Jan 17 2014,Feb 25 2014,38,"Barcelona, Spain",$,595,500,11
230,Butch: Not like the other girls,Art,Feb 14 2014,Mar 18 2014,32,"Vancouver, Canada",CA$,12238,10000,214
231,ANATOMY OF EVIL - ANGELUS MORTIS Poster & Art Prints,Art,Feb 24 2014,Mar 26 2014,30,"Melbourne, AU",AU$,861,600,20
232,Sarah's Sci-Fi Spray-Paint Art and Pet Portraits,Art,Feb 7 2014,Apr 8 2014,60,"Chichester, UK",£,337,250,12
233,"Art, do your homework. Then you can play with Engineering.",Art,Feb 27 2014,Apr 1 2014,33,"Lansing, MI",$,2353,2000,28
234,Amy Lange is Going to Berlin,Conceptual Art,May 5 2014,Jun 4 2014,30,"Berlin, Germany",$,2205,2000,39
235,Zentangle Inspired Prints,Art,Mar 3 2014,Apr 2 2014,30,"Killeen, TX",$,2455,2000,7
236,Student Art Showcase at Adams,Art,Mar 3 2014,Apr 2 2014,30,"Corvallis, OR",$,10240,10000,88
237,Urban Alligators and Alternate Dimensions - NYC Illustration,Art,Feb 24 2014,Mar 23 2014,27,"New York, NY",£,2244,2200,64
238,Dog Park Bench Memorial for Jessie Martori,Art,Apr 7 2015,May 22 2015,45,"Gilbert, AZ",$,1600,1600,7
239,A Line Drawn from the Eye to the Summit,Art,May 15 2015,Jun 14 2015,30,"Birmingham, UK",£,707,500,14
240,$1 Inked Illustrations,Illustration,Apr 14 2015,Apr 22 2015,8,"Hot Springs, AR",$.,3100,10,7
241,Doodles for everyone,Illustration,Apr 27 2015,Jun 11 2015,45,"Umeå, Sweden",SEK,1718,800,14
242,The Prints of Peace: a coloring book for the soul,Illustration,Apr 28 2015,Jun 12 2015,45,"Tallahassee, FL",$,2520,2500,42
243,The River Valley Project,Installations,Aug 5 2015,Sep 4 2015,30,"Philadelphia, PA",$,1010,1000,6
244,Studio Subway,Conceptual Art,Jun 17 2015,Jun 29 2015,12,"New York, NY",$,508,500,18
245,We've got the stories...,Performance Art,Jun 30 2015,Jul 31 2015,31,"Canterbury, UK",£,5455,5000,218
246,Paul Taylor Glass is Moving to California!,Art,Jul 22 2015,Aug 21 2015,30,"Redlands, CA",$,4040,4000,18
247,OuterSpace Studios + TSMP: 5 years!!,Performance Art,Jul 14 2015,Aug 1 2015,17,"Chicago, IL",$,3528,3500,40
248,You Are Here: Made-to-Order Canvas Art,Painting,Jul 7 2015,Jul 18 2015,10,"Waldwick, NJ",$,1071,300,30
249,Checker Brick House – Local Game Becoming Public Art,Public Art,Jul 31 2015,Aug 25 2015,25,"Pittsburgh, PA",$,2206,1000,37
250,REDO : Recreating A Stolen Silkscreen,Public Art,Jul 27 2015,Aug 3 2015,7,"Vancouver, Canada",CA$,1203,1200,20
251,Art for YOU,Illustration,Aug 4 2015,Sep 3 2015,30,"Waterloo, Canada",CA$,500,500,12
252,THE SUCCESSFUL Star Wars LEGO stream fund,Mixed Media,Aug 26 2015,Sep 7 2015,11,"Elma, WA",$.,8600,50,5
253,Art prints by Dragonladych,Illustration,Sep 9 2015,Oct 9 2015,30,"Zurich, Switzerland",CHF,1371,1200,20
254,TARDEZ SCULPTURE - Figures telling us their story,Art,Oct 9 2015,Nov 8 2015,30,"Hamburg, Germany",€.,2200,1,2
255,Inspiration In Envelopes,Art,Dec 15 2015,Jan 14 2016,30,"Manchester, UK",£,1074,1000,27
256,CSAD FINE ART SHOW 2016,Art,Oct 30 2015,Dec 29 2015,60,"Cardiff, UK",£,1020,1000,45
257,Post-Contraceptives,Digital Art,Apr 11 2013,May 12 2013,30,"Denver, CO",$,2670,2400,22
258,Laughter in the Park 2013 Brings Comedy to the People!,Performance Art,Apr 5 2013,May 6 2013,31,"New York, NY",$,1405,1000,34
259,Project: Penpal,Public Art,Mar 18 2013,May 17 2013,60,"New York, NY",$,227,200,15
260,Theater Project Jr presents SEUSSICAL! Theater 4 kids x kids,Performance Art,Jul 9 2013,Aug 8 2013,30,"Cranford, NJ",$,1020,1000,12
261,A Chaotic Affair,Sculpture,May 16 2013,Jun 15 2013,30,"Black Rock City, NV",$,2673,2000,49
262,MOTHER TONGUE,Art,May 23 2013,Jun 22 2013,30,"Donaueschingen, Germany",$,4169,4000,79
263,Sheet Music Origami for the World,Sculpture,Jul 24 2013,Aug 24 2013,30,"Kirtland, OH",$,229,50,16
264,Be in a new paper-cut out music video w/ the band in Heaven,Mixed Media,Aug 8 2013,Sep 7 2013,30,"West Palm Beach, FL",$,250,250,10
265,The Improv Experiment,Performance Art,Jul 30 2013,Aug 29 2013,30,"Lowell, MA",$,375,375,10
266,Prima Materia Transport & Propane for Burning Man,Sculpture,Jul 24 2013,Aug 19 2013,26,"Denver, CO",$,455,350,13
267,Psychosomatic,Performance Art,Sep 27 2013,Oct 14 2013,17,"Atlanta, GA",$,775,775,16
268,Help us defend our State Championship and go for Nationals!,Performance Art,Aug 12 2013,Sep 9 2013,28,"Ashburn, VA",$,7110,5000,108
269,Get a unicorn bjd pet in resin,Sculpture,Sep 3 2013,Sep 17 2013,14,"Eugene, OR",$,702,635,10
270,A series of acrylic paintings titled THE LIVING EARTH SERIES,Painting,Oct 8 2013,Nov 4 2013,27,"San Diego, CA",$,297,250,13
271,2013 StAC ART SHOW & Alumni Reception,Digital Art,Oct 12 2013,Oct 16 2013,4,"Queens, NY",$,1020,1000,10
272,Trucost Super-M-Art,Public Art,Sep 19 2013,Oct 19 2013,30,"Brighton and Hove City, UK",£,2106,2000,53
273,Abbey Rich's Residency at the Vermont Studio Center,Art,Sep 22 2013,Oct 16 2013,24,"Brattleboro, VT",$,2086,2000,10
274,KING of Kings - The Ultimate Portrait of Jesus,Art,Oct 17 2013,Dec 16 2013,60,"Sturgeon County, Canada",CA$,21012,15000,109
275,Quoting Creatives: Illustrated Art Prints,Illustration,Oct 15 2013,Oct 22 2013,7,"Minneapolis, MN",$,1377,750,38
276,2014 BP British Portrait Award Entry,Painting,Dec 16 2013,Jan 15 2014,30,"Bristol, UK",£,239,100,13
277,Masterpiece Your Memories: Portraits and Places,Painting,Feb 16 2014,Mar 24 2014,36,"Seneca, SC",$,5966,1500,57
278,"The Congressional Disapproval Rose, Commemorative Plate",Conceptual Art,Jan 13 2014,Feb 12 2014,30,"New York, NY",$,2713,2500,37
279,Synesthesia Artist Collective presents 'The House of Yes',Performance Art,Jan 10 2014,Feb 9 2014,30,"Anchorage, AK",$,7730,7300,95
280,The Executioner's Mask,Art,Mar 27 2014,Apr 27 2014,30,"Los Angeles, CA",$,1554,1000,52
281,iHeARTshow,Painting,Jan 22 2014,Feb 6 2014,15,"Redondo Beach, CA",$,200,200,6
282,Operation: Crossbones,Mixed Media,Jun 13 2014,Jul 28 2014,45,"San Francisco, CA",$,6818,6000,111
283,Two Artist Residencies in Italy,Painting,Apr 9 2014,May 11 2014,31,"Seattle, WA",$,7569,5000,41
284,Stoneware Kiln for High School Students,Art,Mar 25 2014,Apr 24 2014,30,"Memphis, TN",$,6252,6000,91
285,UH Fine Art BA Degree Show 2014,Art,Mar 16 2014,Apr 20 2014,35,"London, UK",£,2122,2000,68
286,SOFT ANIMAL (West): A Letterpress Book,Mixed Media,Mar 18 2014,Apr 17 2014,30,"Minneapolis, MN",$,4465,4000,86
287,Artist Jay Casey Exhibition at the AD Gallery,Painting,Apr 10 2014,May 10 2014,30,"Beverly Hills, CA",$,5101,5000,22
288,Letters To Everybody,Art,Jul 8 2014,Aug 7 2014,30,"Toronto, Canada",CA$.,6500,50,3
289,Great Moments in Cleveland Sports Coloring Book,Illustration,Jul 12 2014,Sep 10 2014,60,"Los Angeles, CA",$,3117,2000,81
290,Uffizi Virtual Museum in Guam,Art,Jul 19 2014,Sep 17 2014,60,"Tumon, Guam",$,3180,3000,36
291,Lets DRAW,Art,Jul 19 2014,Aug 28 2014,40,"Perth, AU",AU$,101,100,7
292,Feed zombie!!,Art,Jul 28 2014,Aug 27 2014,30,"Sacramento, CA",$.,4500,20,2
293,Belle Center Fireworks Display,Public Art,Apr 24 2015,May 24 2015,30,"Belle Center, OH",$,8100,8000,27
294,Star Trek Portraits Custom Freehand Drawing,Illustration,Nov 7 2014,Dec 8 2014,30,"Fresno, CA",$,145,50,5
295,Drawing a Dream: The Artwork of Daniel Hargrove,Illustration,Oct 21 2014,Nov 21 2014,31,"Montclair, NJ",$,5033,5000,56
296,Let's Gift A Fat Hippo To Five Random Strangers,Art,Aug 15 2014,Aug 18 2014,3,"Brooklyn, NY",$.,3000,30,1
297,Disney Memories,Mixed Media,Aug 21 2014,Sep 20 2014,30,"Toronto, Canada",CA$,124,100,4
298,Art to March at the Climate Summit,Illustration,Aug 21 2014,Sep 19 2014,28,"New York, NY",$,2013,1200,35
299,Poster Prints,Digital Art,Sep 4 2014,Sep 30 2014,25,"North Kingstown, RI",$,150,150,4
300,Rare Diamonds Performing Arts Studio - Obtaining our 501(c)3,Performance Art,Sep 16 2014,Oct 16 2014,30,"Jacksonville, FL",$,2330,2000,6
301,Papercut Portrait,Art,Sep 9 2014,Oct 9 2014,30,"Ashburn, VA",$,140,100,2
302,The George Morton Project,Art,Oct 10 2014,Nov 9 2014,30,"Atlanta, GA",$,14055,11825,35
303,Out of Africa - Anti-Poaching Art Exhibition,Painting,Sep 13 2014,Oct 13 2014,30,"Manhattan, NY",$,200,200,5
304,Sub-Cell: A View From Below,Art,Oct 12 2014,Nov 11 2014,30,"Brighton and Hove City, UK",£,675,600,26
305,"A Little Free Library for Springfield, Illinois",Public Art,Sep 23 2014,Oct 23 2014,30,"Springfield, IL",$,200,200,11
306,Shark Toof x Superchief: Preserving An Iconic Mural,Public Art,Oct 22 2014,Nov 17 2014,26,"Los Angeles, CA",$,3636,1500,95
307,We want to light up Kansas City with Creativity!,Art,Dec 9 2014,Jan 1 2015,22,"North Kansas City, MO",$,900,600,17
308,FIGHTING THE GOOD FIGHT,Painting,Jan 21 2015,Feb 22 2015,31,"Great Neck, NY",$,5228,5000,24
309,'Je Suis' UWTSD Fine Art Degree Show 2015,Art,Jan 19 2015,Feb 18 2015,30,"Wales, UK",£,808,800,27
310,Graduate Thesis Exhibition- Solo Exhibition of Martin Wong,Mixed Media,Feb 7 2015,Mar 7 2015,28,"San Francisco, CA",$,3974,3500,70
311,Inspired by American Samoa (A New Full Series of Paintings),Painting,Feb 8 2015,Mar 11 2015,30,"Wilmington, NC",$,2782,2500,22
312,"Free, public Mail Art workshop at Fluxfest Chicago 2015",Conceptual Art,Jan 29 2015,Feb 19 2015,20,"Chicago, IL",$,281,250,18
313,The Roxy and Rudi Roadshow Cartoon,Digital Art,Mar 6 2015,Apr 10 2015,34,"London, UK",£,7207,6600,110
314,Day of the Dead Jack Calavera Vinyl Stickers,Illustration,Feb 11 2015,Feb 20 2015,9,"Downey, CA",$,758,250,53
315,#StrollWithMe Time Travel To #SXSW 2015,Mixed Media,Feb 24 2015,Mar 3 2015,6,"Austin, TX",$,675,600,13
316,Rise Peacock's BFA Thesis Show,Conceptual Art,Mar 3 2015,Apr 2 2015,30,"Alfred, NY",$,1101,700,25
317,'Four Seasons' An illustration for children,Illustration,Mar 5 2015,Apr 4 2015,30,"Exeter, UK",£,216,100,13
318,"Erica Lewis, a Portrait of Yin and Yang",Painting,Mar 20 2015,May 18 2015,59,"Albany, NY",$,1530,1500,24
319,Hybrid Creature Prints & Stickers,Painting,Jun 5 2015,Jul 31 2015,55,"Burlington, VT",$,3382,2500,23
320,Zombie Bank Note Altered Art ONE of a KIND,Illustration,May 2 2015,Jun 1 2015,30,"Fresno, CA",$,235,25,10
321,Swiss Institute Digital Archive,Art,May 28 2015,Jul 1 2015,33,"New York, NY",$,20206,20000,44
322,På eget ansvar / At your own risk,Public Art,Mar 30 2015,Apr 29 2015,30,"Stavanger, Norway",NOK,23779,20000,79
323,Clubhouse Art Show,Art,Mar 31 2015,Apr 30 2015,30,"Brooklyn, NY",CA$,407,400,19
324,How You Can Make a Burning Man Art Grant Contract More Fair,Public Art,Mar 31 2015,May 30 2015,60,"Black Rock City, NV",$,103,100,3
325,LUMINOUS LAYERS: Encaustic Wax Paintings,Painting,Jul 30 2015,Aug 29 2015,30,"Truro, MA",$,1652,500,13
326,Pursuit of Perfection,Mixed Media,Apr 1 2015,Apr 17 2015,16,"Hackney, UK",£,200,200,7
327,"Exhibit B: Fields of Work, An Exhibition and Publication",Art,Apr 22 2011,May 14 2011,21,"Portland, OR",$,2120,2000,47
328,Tree of Light,Sculpture,Feb 17 2011,Mar 19 2011,30,"Orlando, FL",$,4295,2500,146
329,Take Only What You Can Give_new exhibition by diana heise,Art,Jan 22 2011,Mar 11 2011,47,"Kansas City, MO",$,1305,1000,39
330,Temporary Shelter: A Walk-Through Exhibit of Homeless Life,Art,Mar 2 2011,May 16 2011,74,"New York, NY",$,1666,1000,42
331,the love shack bus stop,Public Art,Dec 3 2011,Jan 2 2012,30,"Athens, GA",$,3015,2500,88
332,"LoMATE's production of ""Hair""!",Performance Art,May 14 2011,May 23 2011,9,"Lower East Side, Manhattan, NY",$,1425,1000,38
333,Young Artist Multi-Media Showcase,Mixed Media,Dec 9 2011,Jan 8 2012,30,"Berkeley, CA",$,2525,2500,35
334,Buffalo Infringement Festival 2011,Art,Mar 24 2011,Jun 23 2011,90,"Buffalo, NY",$,1620,1500,35
335,The Tourist,Art,Mar 21 2011,May 21 2011,60,"Seattle, WA",$,1830,1500,50
336,Super Cool Artscape! Mobile Art Manufacting with PEACOCK!,Public Art,Jun 17 2011,Jul 17 2011,30,"Baltimore, MD",$,640,500,9
337,Angel in West Africa: My Experience in Art,Mixed Media,Oct 19 2011,Nov 9 2011,20,"Brooklyn, NY",$,1800,1800,12
338,"Rites of Passage to ""Swing City"" Performance Art Community",Performance Art,Jul 13 2011,Aug 27 2011,44,"Santa Monica, CA",$,805,500,24
339,Project: Remember,Public Art,Aug 25 2011,Sep 25 2011,30,"Los Angeles, CA",$,405,300,16
340,Chewbaccalypse 2012 Parade,Performance Art,Aug 11 2011,Sep 22 2011,42,"New Orleans, LA",$,3309,3000,58
341,Quilt Stories - FALL TOUR!,Art,Aug 3 2011,Aug 24 2011,21,"Boise, ID",$,1020,1000,43
342,"ReadOUT, ACTout: Banned LGBTQ Children's Book Theatre",Performance Art,Jun 1 2011,Jul 1 2011,30,"Tucson, AZ",$,1001,1000,38
343,Zion Theatre Company's 2014 Season,Performance Art,Jun 7 2013,Jul 7 2013,30,"Provo, UT",$,6279,6000,59
344,"Dirty Looks: On Location, a month of queer interventions",Public Art,May 7 2012,Jun 2 2012,25,"New York, NY",$,14247,14000,272
345,Avant Chamber Ballet - Debut Performance,Performance Art,May 16 2012,Jun 10 2012,25,"Grapevine, TX",$,2125,2000,25
346,Sang ~The Bloody Tale of Orfeas and Evridiki,Performance Art,Sep 25 2012,Oct 16 2012,21,"Santa Barbara, CA",$,4335,4000,89
347,"""Yoga Tree"" Goes International: The Yoga Show, LONDON",Painting,Jul 9 2012,Aug 8 2012,29,"London, UK",$,5129,5000,62
348,Framing My First Art Exhibition!!,Art,Sep 7 2012,Sep 28 2012,20,"Jackson, MS",$,2021,2000,42
349,The Lamp Post Guild,Art,Oct 15 2012,Nov 14 2012,30,"Greenville, SC",$,34087,14000,405
350,The Warehouse Facility Upgrade Project,Public Art,Sep 11 2012,Sep 26 2012,15,"Hickory, NC",$,7900,5000,51
351,Calling all Cats & Dogs,Mixed Media,Aug 17 2012,Sep 27 2012,41,"Hartford, CT",$,960,500,43
352,Cross Country Greenhouse by Lara Bank,Public Art,Aug 21 2012,Sep 12 2012,22,"Brooklyn, NY",$,1650,1200,36
353,Open Door: An Interdisciplinary Arts Exhibition,Art,Oct 2 2012,Oct 23 2012,21,"Charlottesville, VA",$,510,500,13
354,The Vietnam Veterans Memorial Project,Art,Feb 25 2013,Mar 27 2013,30,"Washington, DC",$,2133,2000,33
355,MFA Thesis Exhibition,Art,Oct 7 2012,Nov 6 2012,30,"Philadelphia, PA",$,1080,1000,25
356,SlapDab Theatre Company presents...The Tennessee Project,Performance Art,Oct 30 2012,Nov 30 2012,31,"New York, NY",$,1815,1500,26
357,A Dollar and a Dream,Conceptual Art,Nov 28 2012,Dec 13 2012,15,"Hudson, NY",$,1071,300,15
358,The Arctic Circle; An Expeditionary Residency,Art,Dec 10 2012,Jan 9 2013,30,"Longyearbyen, Svalbard and Jan Mayen",$,5275,5000,69
359,The Burnt Water Cabin 2.0,Art,Jan 9 2013,Jan 24 2013,15,"Long Island City, Queens, NY",$,5602,5000,51
360,Central Saint Martins : PDP : Degree Show,Art,Jan 30 2013,Mar 3 2013,32,"London, UK",£,785,400,18
361,2nd Floor Rear 2013,Public Art,Jan 29 2013,Feb 6 2013,8,"Chicago, IL",$,1500,1500,39
362,Building a Glass Kiln (From scratch!),Mixed Media,Jul 12 2013,Aug 2 2013,21,"Oakland, CA",$,6581,5000,84
363,Maine Teens Teach Multi-Dimensional Art in Guatemala,Mixed Media,Feb 13 2013,Mar 5 2013,20,"Guatemala City, Guatemala",$,2184,2000,51
364,"Drag On Dragon presents: ""Drag Yourself""",Public Art,Mar 11 2013,May 10 2013,60,"Black Rock City, NV",$,537,500,19
365,CYT:LA,Performance Art,Feb 24 2013,Mar 26 2013,30,"Los Angeles, CA",$,5000,5000,29
366,KOURAJ Presents Haiti's First LGBT Bar & Cultural Center,Art,Feb 15 2012,Mar 26 2012,40,"Port-au-Prince, Haiti",$,20975,20000,169
367,Per Rimanere Qui (To Remain Here),Public Art,Mar 21 2012,Apr 10 2012,20,"Monasterace, Italy",$,2807,2800,53
368,Mini Mobile Museum of Sweeteners,Public Art,Oct 30 2011,Nov 29 2011,30,"San Diego, CA",$,1031,1000,18
369,"""Wild and Scenic"" Pop-Environmental Art Installation",Sculpture,Jul 22 2011,Aug 20 2011,29,"Oakland, CA",$,2398,2000,33
370,Enlarged to Show Texture: 2012 TCNJ Senior Art Show,Art,Mar 5 2012,Apr 14 2012,40,"Ewing, NJ",$,827,300,29
371,Portland based painter: CALIFORNIA OR BUST!,Painting,Jun 12 2011,Jul 22 2011,40,"Portland, OR",$,715,400,16
372,Solarium - A solar planetarium in the desert,Public Art,Jun 22 2011,Aug 2 2011,41,"San Francisco, CA",$,4004,4000,38
373,Guardians of the City,Public Art,Mar 6 2012,Apr 5 2012,30,"New York, NY",$,1341,1000,31
374,Paint Israel: Artistic Journey Through Israel,Public Art,May 2 2011,May 15 2011,13,"Tel Aviv, Israel",$,346,100,8
375,The Lost Bowl. A skateboard DIY. phase 2.,Sculpture,Feb 23 2012,Mar 24 2012,30,"Richmond, VA",$,2722,2500,41
376,"""WORK MORE!"" wants to TOUR",Performance Art,Jul 5 2011,Aug 31 2011,57,"San Francisco, CA",$,11504,10000,125
377,Documenting Lake Superior,Mixed Media,Feb 1 2012,Apr 1 2012,60,"Washburn, WI",$,2043,1000,50
378,Re-creating Norse Gods Mythos Art from Deities and Demigods,Illustration,Jan 15 2012,Feb 19 2012,35,"Austin, TX",$,2530,2500,63
379,The SF Mirrors Project,Public Art,Apr 11 2011,May 30 2011,48,"San Francisco, CA",$,3252,3000,130
380,"""And Then I Said..."" (Bench Stories) Public Art Installation",Public Art,Aug 2 2011,Sep 16 2011,45,"Manhattan, NY",$,900,750,39
381,E|MERGE Interdisciplinary Artist Residency,Performance Art,Nov 21 2011,Jan 7 2012,46,"Plainfield, MA",$,5310,5000,104
382,"""THE GIFT"" ART BOOK",Mixed Media,Oct 31 2011,Dec 9 2011,38,"New York, NY",$,15846,15000,189
383,Summer of Change,Conceptual Art,Jul 6 2011,Sep 4 2011,60,"New York, NY",$,735,700,20
384,"Altering Landscapes: Vacuums, Leaf Blowers and Streams",Conceptual Art,Aug 30 2011,Sep 29 2011,30,"San Francisco, CA",$,1260,1260,12
385,Brick and Mortar International Video Art Festival,Public Art,Sep 24 2011,Oct 24 2011,30,"Greenfield, MA",$,4536,4500,41
386,The IMPS of MARGE and FLETCH : Intergalactic Expansion,Art,May 15 2012,Jun 14 2012,30,"Los Angeles, CA",$,4581,4000,54
387,The DS Project!!!,Performance Art,May 30 2012,Jun 29 2012,30,"Houston, TX",$,2537,1000,80
388,MATA HARI EXPANDS,Mixed Media,May 21 2012,Jun 9 2012,19,"Brooklyn, NY",$,1495,1100,34
389,The Masters Project,Art,May 29 2012,Jun 18 2012,20,"Portland, OR",$,1125,1000,15
390,The Colossi - A Painting Series by Trista Musco,Painting,Aug 7 2012,Sep 7 2012,31,"San Francisco, CA",$,3578,1000,70
391,Breakwater School Bus Project,Public Art,Jun 7 2012,Jul 15 2012,37,"Portland, ME",$,2655,2500,49
392,"JUST CUPS, JUST FOR YOU!!!!!",Art,Aug 13 2012,Sep 12 2012,30,"Haworth, OK",$,626,50,24
393,Dig In & Bike On,Public Art,Apr 20 2013,May 21 2013,30,"Iron Mountain, MI",$,2915,970,39
394,PHỞ 99,Art,Nov 13 2012,Dec 4 2012,21,"Seattle, WA",$,9564,5000,355
395,Spitzer Signature Ceramics,Art,Jul 11 2012,Aug 10 2012,30,"Gainesville, FL",$,1300,375,41
396,Realistic Pen-Art Website,Art,Jul 9 2012,Aug 8 2012,30,"Los Angeles, CA",$,1083,1000,17
397,Sally Johnson -X- BCALLA: A Alternatives,Art,Jul 25 2012,Aug 24 2012,30,"Brooklyn, NY",$,2560,2500,64
398,RUCKUS NYC: A Conference & Concert on Art & the Web,Art,Aug 23 2012,Sep 26 2012,34,"New York, NY",$,5206,5000,95
399,Bring RJP Nomadic Gallery to San Antonio,Performance Art,Aug 2 2012,Sep 1 2012,29,"San Antonio, TX",$,1559,1000,20
400,The Mariel and Friends Basement Comedy Tour,Performance Art,Jul 31 2012,Aug 29 2012,29,"Providence, RI",$,301,200,19
401,Big Class: An exhibition of work by and inspired by kids,Art,Jul 31 2012,Aug 8 2012,8,"New Orleans, LA",$,506,500,11
402,The Awesome Project,Public Art,Sep 28 2012,Nov 27 2012,60,"San Francisco, CA",$,900,299,57
403,Intimacy. Don't be afraid - A multimedia artpiece in China.,Mixed Media,Aug 24 2012,Sep 14 2012,21,"Shanghai, China",$,2100,2000,4
404,The Quiet Pictures Experiment,Art,Sep 19 2012,Oct 21 2012,32,"New York, NY",$,3285,3000,57
405,EARTH BUILDING IN GHANA,Public Art,Sep 12 2012,Oct 7 2012,25,"Kumasi, Ghana",$,4455,3000,56
406,"The Mother, the Daughter, and the Museum",Painting,Nov 12 2012,Dec 12 2012,30,"Los Angeles, CA",$,2211,2000,40
407,"Crazy Detailed Abstract Pencil Art - ""Amazing Realization""",Illustration,Nov 22 2012,Jan 1 2013,39,"Denver, CO",$,1072,500,17
408,The Theatre Transplant Project,Performance Art,Dec 10 2012,Jan 10 2013,30,"Minneapolis, MN",$,2306,2000,31
409,The Doctor Whosical,Performance Art,Dec 6 2012,Feb 4 2013,60,"Tampa, FL",$,1504,400,29
410,Help print Shark Bait #47,Public Art,Nov 1 2012,Nov 26 2012,25,"Albuquerque, NM",$,535,400,23
411,Heartstorm,Illustration,Dec 27 2012,Jan 26 2013,30,"Portland, OR",$,3496,2000,101
412,Continental Drift: The Peele Map,Painting,Jan 2 2013,Jan 16 2013,14,"Raleigh, NC",$,181,100,7
413,The Inimical Races of Tekumel,Illustration,Jan 9 2013,Jan 28 2013,18,"Austin, TX",$,2291,750,38
414,Beet the System!,Art,Jan 20 2014,Feb 19 2014,30,"Hardwick, VT",$,2798,2500,178
415,Beyond the Green: a handprinted book project,Mixed Media,Jan 22 2013,Mar 10 2013,47,"Tampa, FL",$,1857,1500,51
